ID;Bibl. Eintrag;Schranknummer - Praun'scher Katalog;Rang - Praun'scher Katalog;Titelreihenfolge - Praun'scher Katalog;Systemtische Zuordnung - Praun'scher Katalog;Imagez‰hlung Digitalisat - Praun'scher Katalog;Katalogseitenz‰hlung- Praun'scher Katalog;Katalogeintrag Praun'scher Katalog;Erg‰nzungen zum Katalogeintrag - Praun'scher Katalog;ID - Katalog Ende 18. Jh.;Imagez‰hlung - Digitalisat Katalog Ende 18. Jh.;Katalogseitenz‰hlung - Katalog Ende 18. Jh.;Schrankposition - Katalog Ende 18. Jh.;Titelreihenfolge - Katalog Ende 18. Jh.;Katalogeintrag Katalog Ende 18. Jh.;PPN-Nummer Manifestationsebene;Anmerkungen - Praun'scher Katalog edit.;Bandz‰hlung - katalog¸bergreifend;PPN-Nummer Exemplarebene - Ex. 1;HAB  Exemplare;Sammlungszugehˆriges Exemplar mit Provenienzen;Aufstellungssystematik Mittlere Aufstellung;Signatur- und Provenienzpr¸fung;Ergebnis Magazin- und Provenienzpr¸fung;Alle im OPAC nachgewiesen Provenienzen HAB;Provenienz Zuordnung namentlich;Bibliographische Gattung und Status;Sprachcode;OPAC Haupttitel;Erscheinungsjahr;Erscheinungsort OPAC - 4030 -;Erscheinungsort normiert GND;Erscheinungsort GND-Nummer;Erscheinungsort normiert TGN;TGN-Nummer;1. Verfasser Vorname -3000;1. Verfasser Nachname - 3000;1. Verfasser normiert;Wikidata-ID;sex or gender;1. Verfasser GND-Nummer;Geschlecht;1. Weiterer Verfasser Vorname -3001;1. Weiterer Verfasser Nachname - 3001;1. Weiterer Verfasser GND - 3001 2;Geschlecht2;2. Weiterer Verfasser Vorname - 3002;2. Weiterer Verfasser Nachname - 3002;2. Weitere Verfasser GND - 3002 2;Geschlecht3;1. Weitere Person Vorname -3010;1. Weitere Person Nachname -3010;1. Weitere Person GND - 3010 2;Geschlecht4;2. Weitere Person Vorname - 3010;2. Weitere Person Nachname -3010;Geschlecht5;2. Weitere Person GND - 3010 2;1. Sonstige Person Vorname - 3050;1. Sonstige Person Nachname - 3050;1. Sonstige Person GND - 3050 2;2. Sonstige Person Vorname - 3050;2. Sonstige Person Nachname - 3050;2. Sonstige Person GND - 3050 2;3. Sonstige Person Vorname - 3050;3. Sonstige Person Nachname - 3050;4. Sonstige Person Nachname - 3050;3. Sonstige Person GND - 3050 2
1;1;I;(a) 1. Rang in folio;1;Histoire universelle civile et ecclesiastique, d'Allemagne, Suisse, Danemarc, Suede, Hongrie, Pologne, Italie;9;1;Les metamorphoses d'Ovide, Par Mr. L'AbbÈ Banier, Ouvrage enrichi de figures gravÈes, par B. Picart. Amst. 1732.;;1;8;6;I. Arm. I Rang in Folio;1;Les metamophosos d Ovide par M. b AbbÈ banier ouvarge enrichi de figures gravÈes par B. Picart · Amsterdam 1732.;142243574;;1;253218071;M: Lh 2∞ 19;;Literatur - Rˆmische Literatur;Exemplar vorhanden;Exemplar ohne Provenienzen von Philippine Charlotte;;;Acus;fre;Les Metamorphoses D'Ovide En Latin, Traduites En FranÁois;1732;Amsterdam;Amsterdam;4001783-7;Amsterdam;tgn/7006952;Publius;Ovidius Naso;Ovid;Q7198;male;118590995;M‰nnlich;;;;;;;;;Antoine;Banier;100022324;M‰nnlich;Bernard;Picart;M‰nnlich;123379636;;;;;;;;;;
2;2;I;(a) 1. Rang in folio;1 b);Histoire universelle civile et ecclesiastique, d'Allemagne, Suisse, Danemarc, Suede, Hongrie, Pologne, Italie;9;1;Les Temple des Muses orne de 60 Tableaux ou sont representÈs les Evenemens les plus remar quables de l'AntiquitÈs fabuleuse dessinÈs et gravÈe par picard le Romain et autres habiles maitre Amster. 1733.;;2;8;6;I. Arm. I Rang in Folio;2;Le temple des muses ornÈ de 60 tableaux ou sont reprÈ sentÈs les ÈvÈnemes les plus remarquables de l' antiquite fabuleuse desfinÈs et gravÈs par Picart le Romaini · Amsterdam 1733;214141918;erg‰nzt;1;214141918;M: Ho gr.-2∞ 1;;Kulturgeschichte - Mythologie;Exemplar vorhanden;Exemplar ohne Provenienzen von Philippine Charlotte;;;Aar;fre;Le temple des muses;1733;Amsterdam;Amsterdam;4001783-7;Amsterdam;tgn/7006952;Antoine;La Barre de Beaumarchais;Antoine Emmanuel La Barre de Beaumarchais;Q4251815;male;100743714;Unbekannt;;;;;;;;;Bernard;Picart;123379636;M‰nnlich;;;;;;;;;;;;;;
3;3;I;(a) 1. Rang in folio;2-11;Histoire universelle civile et ecclesiastique, d'Allemagne, Suisse, Danemarc, Suede, Hongrie, Pologne, Italie;9;1;Ceremonies et coutumes religieuses, representÈes par des figures dessinÈes de la main de B. Picart Amst. 1728. Peuples Idolatres it. Peuples du monde, 1722. TI. P.I.II. 1733. T. II. III. 1736. T. IV. 1737 T. V. 1743. T. VII. P. II. T. VIII.;;625;100;98;VI. Arm. 1. Rang in Folio;4-13;CÈrÈmonies et coulumes religieuses, reprÈsentÈes par des figures dessinÈes de la main de B. Picart ‡ Amsterdam 1728 Peuples idolatres Peuples du monde 1723 T. I. P. I, 2. 1733. T. 2,3. 1736. T. 4. 1737 T. 5. 1743 T. 7. P. 2. T. 8. 10 Volumes. /: ils en manquent T. 6. T. 7 P. 2 :/;151855382;;;311949304;M: Ti 2∞ 6:1,1, M: Ti 2∞ 7 (1);M: Ti 2∞ 6:1,1;Staatswissenschaften - Liturgische Literatur;Provenienzen bereits im OPAC nachgewiesen;;Ohne Vortitel (Bl. *1), Hier nur 12 Ill., Wappensupralibros: Dumas [de Montbail oder de Montmartin?], Provenienz: Dumas de Montbail <Familie> / Einband / Wappen, Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> / Signatur, Dumas de Montbail <Familie>;Provenienz: Dumas de Montbail <Familie> / Einband / Wappen;Acus;fre;CÈrÈmonies Et Coutumes Religieuses De Tous Les Peuples Du Monde ...;1723;Amsterdam;Amsterdam;4001783-7;Amsterdam;tgn/7006952;;;;;;;;;;;;;;;;Bernard;Picart;123379636;M‰nnlich;Jean FrÈdÈric;Bernard;Unbekannt;10007832X;;;;;;;;;;
4;3;I;(a) 1. Rang in folio;2-11;Histoire universelle civile et ecclesiastique, d'Allemagne, Suisse, Danemarc, Suede, Hongrie, Pologne, Italie;9;1;Ceremonies et coutumes religieuses, representÈes par des figures dessinÈes de la main de B. Picart Amst. 1728. Peuples Idolatres it. Peuples du monde, 1722. TI. P.I.II. 1733. T. II. III. 1736. T. IV. 1737 T. V. 1743. T. VII. P. II. T. VIII.;;625;100;98;VI. Arm. 1. Rang in Folio;4-13;CÈrÈmonies et coulumes religieuses, reprÈsentÈes par des figures dessinÈes de la main de B. Picart ‡ Amsterdam 1728 Peuples idolatres Peuples du monde 1723 T. I. P. I, 2. 1733. T. 2,3. 1736. T. 4. 1737 T. 5. 1743 T. 7. P. 2. T. 8. 10 Volumes. /: ils en manquent T. 6. T. 7 P. 2 :/;432550577;;12;360142877;M: Ti 2∞ 6:9,1 (1), M: Ti 2∞ 7:1 (1);M: Ti 2∞ 6:9,1 (1);Staatswissenschaften - Liturgische Literatur;Provenienzen bereits im OPAC nachgewiesen;;Wappensupralibros: Dumas [de Montbail oder de Montmartin?], Provenienz: Dumas de Montbail <Familie> / Einband / Wappen, Provenienz: Montbail, Marthe Dumas ^de^ / Autogramm, Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> / Signatur;Provenienz: Dumas de Montbail <Familie> / Einband / Wappen;Acu;fre;Ceremonies et Coutumes Religieuses des Peuples Idolatres;1723;Amsterdam;Amsterdam;4001783-7;Amsterdam;tgn/7006952;;;;;;;;;;;;;;;;Bernard;Picart;123379636;M‰nnlich;Jean FrÈdÈric;Bernard;Unbekannt;10007832X;;;;;;;;;;
5;4;I;(a) 1. Rang in folio;12-26;Histoire universelle civile et ecclesiastique, d'Allemagne, Suisse, Danemarc, Suede, Hongrie, Pologne, Italie;9;1;L'AntiquitÈ expliqueÈ et representÈe, par D. B. Montfaucon, ed. 2. Par. 1722. T. I. P. I. II. T. II. P.I. II. T. III. P. I. II. T. IV. P. l. II. T. V. P. I. II. et. Supplements T. I. II. II. IV. V.;;3;8;6;I. Arm. 1. Rang in Folio;3-17;L' antiquitÈ expliquÈe et reprÈsentÈe par D. B. Montfaucon · Paris 1722. T. I-V et Supplem. T. I-V. 15 Volumes.;150315910;;15;315991364;M: Ud 2∞ 15:1;M: Ud 2∞ 15:1;Kunst - Antike Kunst;Provenienzen bereits im OPAC nachgewiesen;;Wappensupralibros: Dumas [de Montbail oder de Montmartin], Provenienz: Dumas de Montbail <Familie> / Einband / Wappen, Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> / Signatur, Dumas de Montbail <Familie>;Provenienz: Dumas de Montbail <Familie> / Einband / Wappen;Acus;fre;L' AntiquitÈ ExpliquÈe Et ReprÈsentÈe En Figures;1722;Paris;Paris;4044660-8;Paris;tgn/7008038;Bernard;Montfaucon;Bernard de Montfaucon;Q705306;male;100310923;M‰nnlich;;;;;;;;;;;;;;;;;;;;;;;;;;
6;5;I;(b), 2. rang in octav.;27;"Hist. universelle, chronologie geographie
geographie";10;2;AbregÈ de l'histoire de ce Siecle de Fer, par J. N. de Parival, Burx. 1658.;;13;10;8;I. Arm. 2. Rang in Oktavo;1;AbrËgË de l'histoire de ce ciÈcle de fer par N. Parivab ‡ Bruxelles 1658.;225517736;;1;225518058;M: Ge 546:1;;Geschichte - Neuere Geschichte;Exemplar vorhanden;Exemplar ohne Provenienzen von Philippine Charlotte;;;Acu;fre;AbregÈ De L'Histoire De ce Siecle de Fer;1655;A Bruxelles;Br¸ssel;4008460-7;Bruxelles;tgn/7007868;Jean Nicolas;Parival;Jean Nicolas de Parival;Q1609244;male;10023951X;Unbekannt;;;;;;;;;FranÁois;Vivien;1037550706;Unbekannt;;;;;;;;;;;;;;
7;6;I;(b), 2. rang in octav.;28-29;"Hist. universelle, chronologie geographie
geographie";10;2;Introduction ‡ l'histoire des Maisons Souveraines de l'Europe, par te P. Buffier, Par. 1717. T. I. II.;voiez II. n. 136 [etc].;14;10;8;I. Arm. 2. Rang in Oktavo;2-3;Introduction ‡ l'histoire des Maisons souverains de l'Europe par le P. Buffier T. I. 2.;138945896;;2;239336313;M: Ff 79:1;M: Ff 79:1;Historische Hilfswissenschaften - Genealogie;Provenienzen bereits im OPAC nachgewiesen;;Wappensupralibros: Dumas [de Montbail oder de Montmartin?], Provenienz: Montbail, Marthe Du Mas ^de^ / Autogramm, Provenienz: Dumas de Montbail <Familie> / Einband / Wappen, Montbail, Marthe Dumas ^de^;Provenienz: Dumas de Montbail <Familie> / Einband / Wappen;Acr;fre;Introduction ‡ l'histoire des maisons souveraines de l'Europe;1717;Paris;Paris;4044660-8;Paris;tgn/7008038;Claude;Buffier;Claude Buffier;Q722978;male;120570939;Unbekannt;;;;;;;;;;;;;;;;;;;;;;;;;;
8;7;I;(b), 2. rang in octav.;30-31;"Hist. universelle, chronologie geographie
geographie";10;2;Le parfait geographe, ou methode pour apprendre aisement la geographie l'histoire et la Sphere par Mr le Cog. Par. 1723. T. I. II.;;349;58;56;IV. Arm. 2. Rang in Oktavo;14-15;Le parfait gÈographe, ou mÈthode pour apprendre aisement la gÈographie, l' histoire et la sphËre, par M. le Coq. ¿ Paris 1723. T. I, 2.;216300827;;2;21630086X;M: Ca 191:1;M: Ca 191:1;Geographie - Handb¸cher etc.;Provenienzen bereits im OPAC nachgewiesen;;Wappensupralibros: Dumas [de Montbail oder de Montmartin?], Provenienz: Montbail, Marthe Du Mas ^de^ / Autogramm, Provenienz: Dumas de Montbail <Familie> / Einband / Wappen, Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> / Signatur;Provenienz: Dumas de Montbail <Familie> / Einband / Wappen;Acr;fre;Le parfait geographe, ou methode pour apprendre aisÈment la geographe l'histoire, et la sphere;1723;Paris;Paris;4044660-8;Paris;tgn/7008038;Renaud;Lecoq;Lecoq, Renaud;;male;1055691901;M‰nnlich;;;;;;;;;;;;;;;;;;;;;;;;;;
9;8;I;(b), 2. rang in octav.;32-35;"Hist. universelle, chronologie geographie
geographie";10;2;Hist. du. XVI.eme Siecle par Mr Durand, Haie 1734. T. I. II. III. IV.;;21;10;8;I. Arm. 2. Rang in Oktavo;25-28;Histoire du XVI mË Sucle par M. Durand ‡ la Haye 1734 T I4.;180553526;;4;180553593;M: Ge 193:1;M: Ge 193:1;Geschichte - Neuere Geschichte;Exemplar vorhanden;Provenienz Montbail: Supralibros Wappen Dumas, Signatur Praun'scher Katalog;;Provenienz: Dumas de Montbail <Familie>;Acu;fre;Histoire Du Seizieme SiÈcle;1734;La Haye;Den Haag;4011446-6;'s-Gravenhage;tgn/7006810;David;Durand;David Durand;Q3017812;male;12353044X;M‰nnlich;;;;;;;;;;;;;;;;;;;;;;;;;;
10;9;I;(b), 2. rang in octav.;36;"Hist. universelle, chronologie geographie
geographie";10;2;Hist. chronologique du dernier Siecle. Par. 1715.;;351;58;56;IV. Arm. 2. Rang in Oktavo;17;Histoire chronologique du dernier siÈcle ‡ Paris 1715.;138236720;;1;138236720;M: Ge 118;;Geschichte - Neuere Geschichte;Exemplar vorhanden;Exemplar ohne Provenienzen von Philippine Charlotte;;;Aar;fre;Histoire chronologique du dernier siÈcle ...;1715;Paris;Paris;4044660-8;Paris;tgn/7008038;Claude;Buffier;Claude Buffier;Q722978;male;120570939;Unbekannt;;;;;;;;;;;;;;;;;;;;;;;;;;
