id;pageCat;imageCat;numberCat;itemInVolume;titleCat;titleBib;titleNormalized;author1;author2;author3;author4;contributor1;contributor2;contributor3;contributor4;place1;place2;publishers;year;format;histSubject;subjects;genres;mediaType;languages;systemManifestation;idManifestation;institutionOriginal;shelfmarkOriginal;provenanceAttribute;digitalCopyOriginal;targetOPAC;searchID;titleWork;systemWork;idWork;bound;comment;digitalCopy;copiesHAB
1269;139;171;[58-64];;Le Spectateur, Amst. 1732. T. I-VII. ;"Le Spectateur, Ou Le Socrate Moderne, Où l'on voit un Portrait nai??f des Moeurs de ce Siécle ; Traduit De L'Anglois";;;;;;;;;;Amsterdam#getty7006952;;;1716;8°;Arm. XI, b) 2. rang in oct.;Literatur ; Englische Literatur;Druck;fre;GBV;233877673;Herzog August Bibliothek Wolfenbüttel;M: Lq 1017;;;;;;;;;[gestr. VII c 89-95];;M: Lq 1017:1
1272;139;171;[130-189];;Bibliotheque raisonneé des ouvrages de Savans, 1728-1751. Amst. T. 47. Vol. LIX. ;Bibliothèque raisonnée des ouvrages des savans de l'Europe;;;;;;;;;;Amsterdam#getty7006952;;;1728;8°;Arm. XI, b) 2. rang in oct.;Literatur ; Französische Literatur;Druck;fre;GBV;166706744;Herzog August Bibliothek Wolfenbüttel;M: Lm 3951;;;;;;;;;[gestr. X d n.n.];;M: Lm 3951
521;57;71;227;;Hist. secrete de Bourgogne. Amst. 1729. vo cy dessus [gestrichen];;;;;;;;;;;;;;;8°;Arm. IV, (g) 7. rang, in octav.;;;Druck;fre;;;;;;;;;;;;;[vorh. in IV f 182] - Dublette;;
1322;233;265;[44-45];;Mem. de la vie du C. D+ par M. de S. Evremond, Amst. 1705. x;;;;;;;;;;;;;;;8°;Neben Cabinet;;;Druck;fre;;;;;;;;;;;;;[vorh. in IX e 162-163] - Dublette;;
1282;229;261;[13-18];;Oeuvres de M. Scarron, Amst. 1712. T. I. II. III. IV. V. VI. ;;;;;;;;;;;;;;;8°;Neben Cabinet;;;Druck;fre;;;;;;;;;;;;;[vorh. in VII.f.213] - Dublette;;
1397;239;271;[147];;Plusieurs enigmes, par. Mich. No. Leuwarde. 1684. x;;;;;;;;;;;;;;;8°;Neben Cabinet;;;Druck;fre;;;;;;;;;;;;;[vorh. in VIII b 46] - Dublette;;
1391;238;270;[139-142];;Mem. de Brantome conte, les vies des hom?es illustres François. Leide 1699. T. I. II. III. IV. ;;;;;;;;;;;;;;;8°;Neben Cabinet;;;Druck;fre;;;;;;;;;;;;;[vorh. IX c 87 a) b) c) ] - Dublette;;
994;107;134;84;;Abregé des vies des anciens philosophes, avec un recueil de leurs plus belles maximes, par M. D. F. Par. 1726. ;;;;;;;;;;;;;;;8°;Arm. VIII, (c) 3. rang, in Octav.;;;Druck;fre;;;;;;;;;;;;;[vorh. VIII c 97 b)] - Dublette;;
160;19;29;78 b) c);;Le nouveau Testament par Mrs de Beausobre et Lenfant. Amst. 1741. T. I. II. ;Le Nouveau Testament De Notre Seigneur Jesus-Christ;;;;;;Isaac Beausobre#117767980;Jacques Lenfant#117636290;;;Amsterdam#getty7006952;;;1741;4°;Arm. II, (c) 3. rang, in quarto.;Staatswissenschaften ; Exegetische Theologie [III];Druck;fre;GBV;151026106;Herzog August Bibliothek Wolfenbüttel;M: Td 4° 31 ;;;;;;;;;ergänzt;;M: Td 4° 31 (1), Bibel-S. 955 (1)
672;76;98;11 n);;Pictures of the oland Neu Testament, tableaux du V. et N. Testament a Amsterdam. ;Pictures of the Old snd New Testaments, showing the most nottable historys, in 150 copper platis, brought in copper by the most famouss and principal masters. To which is addet a historicall declaration ... Tableaux du Vieux et Nouveau Testament.;;;;;;;;;;Amsterdam#getty7006952;;;1720;2°;Arm. VI, (a) 1. rang, in folio;Staatswissenschaften ; Exegetische Theologie [I];Druck;eng;GBV;151129215;Herzog August Bibliothek Wolfenbüttel;M: Tb 4° 39;;;;;;;;;ergänzt;;M: Tb 4° 39
