	PPN	Signatur 1	Signatur 2	Signatur 3	Signatur 4	Signatur 5	Anmerkung 1	Anmerkung 2	Anmerkung 3	Provenienz 1	Provenienz 2	Provenienz 3
0	112651801	M: Sf 726	leer	leer	leer	leer	Wappensupralibros: Dumas [de Montbail oder de Montmartin?]	leer	leer	Provenienz: Montbail, Marthe Du Mas ^de^ / Autogramm	Provenienz: Dumas de Montbail <Familie> / Einband / Wappen	Provenienz: Philippine Charlotte <Braunschweig-Lüneburg, Herzogin> / Signatur
1	133542688	M: Lm 4131	leer	leer	leer	leer	leer	leer	leer	leer	leer	leer
2	133549275	M: Lq 590	leer	leer	leer	leer	leer	leer	leer	leer	leer	leer
3	133990087	M: Gr 712	leer	leer	leer	leer	Wappensupralibros: Dumas [de Montbail oder de Montmartin]	Signatur der Bibliothek von Herzogin Philippine Charlotte von Braunschweig-Lüneburg	leer	Provenienz: Dumas de Montbail <Familie> / Einband / Wappen	Provenienz: Philippine Charlotte <Braunschweig-Lüneburg, Herzogin> / Signatur	Dumas de Montbail <Familie>
4	134858425	M: Sf 748	M: Rp 148 (2)	Schulenb. S 45	leer	leer	Wappensupralibros: Dumas [de Montbail oder de Montmartin]	Signatur der Bibliothek von Herzogin Philippine Charlotte von Braunschweig-Lüneburg	leer	Provenienz: Dumas de Montbail <Familie> / Einband / Wappen	Provenienz: Philippine Charlotte <Braunschweig-Lüneburg, Herzogin> / Signatur	Dumas de Montbail <Familie>
5	134916611	M: Te 4° 21	leer	leer	leer	leer	leer	leer	leer	leer	leer	leer
6	134919149	M: Lp 105	leer	leer	leer	leer	Wappensupralibros: Dumas [de Montbail oder de Montmartin]	Signatur der Bibliothek von Herzogin Philippine Charlotte von Braunschweig-Lüneburg	leer	Provenienz: Dumas de Montbail <Familie> / Einband / Wappen	Provenienz: Philippine Charlotte <Braunschweig-Lüneburg, Herzogin> / Signatur	Dumas de Montbail <Familie>
7	134938844	M: Lg 739 (1)	leer	leer	leer	leer	Wappensupralibros: Dumas [de Montbail oder de Montmartin]	leer	leer	Provenienz: Montbail, Marthe Du Mas ^de^ / Autogramm	Provenienz: Dumas de Montbail <Familie> / Einband / Wappen	Provenienz: Philippine Charlotte <Braunschweig-Lüneburg, Herzogin> / Signatur
8	134957520	M: QuN 899a (1)	leer	leer	leer	leer	Wappensupralibros: Dumas [de Montbail oder de Montmartin]	Signatur der Bibliothek von Herzogin Philippine Charlotte von Braunschweig-Lüneburg	leer	Provenienz: Dumas de Montbail <Familie> / Einband / Wappen	Provenienz: Philippine Charlotte <Braunschweig-Lüneburg, Herzogin> / Signatur	Dumas de Montbail <Familie>
9	135186994	M: Gv 134	H: T 51ccc.8° Helmst.	leer	leer	leer	leer	leer	leer	leer	leer	leer
10	135396352	M: Gv 339	M: Gv 339a	leer	leer	leer	leer	leer	leer	leer	leer	leer
11	135484189	M: Ea 642	leer	leer	leer	leer	leer	leer	leer	leer	leer	leer
12	135657873	M: Cc 233	leer	leer	leer	leer	leer	leer	leer	leer	leer	leer
13	135736579	M: Gp 66	M: Gm 3312	Schulenb. B 27	leer	leer	leer	leer	leer	leer	leer	leer
14	135736889	M: Gp 278	leer	leer	leer	leer	Wappensupralibros: Dumas [de Montbail oder de Montmartin]	leer	leer	Provenienz: Dumas de Montbail <Familie> / Einband / Wappen	Provenienz: Philippine Charlotte <Braunschweig-Lüneburg, Herzogin> / Signatur	Dumas de Montbail <Familie>
15	135738997	M: Gp 212:1	leer	leer	leer	leer	Wappensupralibros: Dumas [de Montbail oder de Montmartin]	leer	leer	Provenienz: Montbail, Marthe Du Mas ^de^ / Autogramm	Provenienz: Dumas de Montbail <Familie> / Einband / Wappen	Provenienz: Philippine Charlotte <Braunschweig-Lüneburg, Herzogin> / Signatur
16	135742501	M: Gp 306	leer	leer	leer	leer	leer	leer	leer	leer	leer	leer
17	135753775	M: Gm 703:1	leer	leer	leer	leer	leer	leer	leer	leer	leer	leer
18	135754577	M: Gm 1123:1	leer	leer	leer	leer	leer	leer	leer	leer	leer	leer
19	135755298	M: Gm 1079	leer	leer	leer	leer	leer	leer	leer	leer	leer	leer
20	135792444	M: Gm 938	leer	leer	leer	leer	leer	leer	leer	leer	leer	leer
21	135841933	M: Gm 770	leer	leer	leer	leer	leer	leer	leer	leer	leer	leer
22	135846692	M: Gm 783	leer	leer	leer	leer	leer	leer	leer	leer	leer	leer
23	135847192	M: Gm 929 (2)	M: Gm 932 (2)	leer	leer	leer	leer	leer	leer	leer	leer	leer
24	135847346	M: Gm 1081	leer	leer	leer	leer	leer	leer	leer	leer	leer	leer
25	135849470	M: Gm 3608	leer	leer	leer	leer	leer	leer	leer	leer	leer	leer
26	135849934	M: Gm 3610	A: 139.3 Hist. (1)	leer	leer	leer	Hs. Besitzvermerk: De Montbail	Wappensupralibros: Dumas [de Montbail oder de Montmartin]	Signatur der Bibliothek von Herzogin Philippine Charlotte von Braunschweig-Lüneburg	Provenienz: Montbail, Marthe Du Mas ^de^ / Autogramm	Provenienz: Dumas de Montbail <Familie> / Einband / Wappen	Provenienz: Philippine Charlotte <Braunschweig-Lüneburg, Herzogin> / Signatur
27	135948436	M: QuN 605l (1)	leer	leer	leer	leer	Wappensupralibros: Dumas [de Montbail oder de Montmartin?]	leer	leer	Provenienz: Montbail, Marthe Du Mas ^de^ / Autogramm	Provenienz: Dumas de Montbail <Familie> / Einband / Wappen	Montbail, Marthe Dumas ^de^
28	135974364	M: Bc 526:1	leer	leer	leer	leer	leer	leer	leer	leer	leer	leer
29	136161960	M: Cc 261	leer	leer	leer	leer	Wappensupralibros: Dumas [de Montbail oder de Montmartin?]	leer	leer	Provenienz: Montbail, Marthe Du Mas ^de^ / Autogramm	Provenienz: Dumas de Montbail <Familie> / Einband / Wappen	Provenienz: Philippine Charlotte <Braunschweig-Lüneburg, Herzogin> / Signatur
30	136192734	M: Gx 324	leer	leer	leer	leer	Wappensupralibros: Dumas [de Montbail oder de Montmartin]	leer	leer	Provenienz: Dumas de Montbail <Familie> / Einband / Wappen	Provenienz: Philippine Charlotte <Braunschweig-Lüneburg, Herzogin> / Signatur	Dumas de Montbail <Familie>
