	PPN	Bibliographische Gattung und Status	Sprache	Erscheinungsjahr	Erscheinungsort	Erscheinungsort GND	Titel	Verfasservorname	Verfassername	GND Verfasser	1. Weitere Verfasser Vorname	1. Weitere Verfasser Nachname	1. Weitere Verfasser GND	2. Weitere Verfasser Vorname	2. Weitere Verfasser Nachname	2. Weitere Verfasser GND	1. Weitere Person Vorname	1. Weitere Person Nachname	1. Weitere Person GND	2. Weitere Person Vorname	2. Weitere Person Nachname	2. Weitere Person GND	1. Sonstige Person Vorname	1. Sonstige Person Nachname	1. Sonstige Person GND	2. Sonstige Person Vorname	2. Sonstige Person Nachname	2. Sonstige Person GND
0	1182651801	Aar	ger	1912	Berlin-Zehlendorf		Ein Lebensbuch	Friedrich	Hebbel	gnd/118547445							Walther	Bloch-Wunschmann	leer									
1	1184903093	Aau	ger	1914	Leipzig		Zelle und Gewebe in neuem Licht ; mit 40 Figuren im Text	Emil	Rohde	gnd/116597216																		
2	131127055	Acus	fre	1729	A La Haye		Histoire Naturelle, Civile Et Ecclesiastique De L'Empire Du Japon ; Ouvrage enrichi de quantité de Figures dessinées d'après le naturel par l'Auteur même	Engelbert	Kaempfer	gnd/118559168							John Gaspar	Scheuchzer	gnd/123709644									
3	133539598	Aau	fre	1726	La Haye		Les Quinze Joyes De Mariage ; Ouvrage Très Ancien, Auquel on a joint le Blason des fausses amours, le Loyer des folles amours, & le triomphe des muses contre amour ; Le tout enrichi de Remarques & de Diverses Leçons										François	Rosset	gnd/124595553	Guillaume	Crétin	gnd/10079498X						
4	133542475	Acu	fre	1720	Amsterdam		La Vie, Les Avantures, & le Voyage De Groenland Du Révérend Pere Cordelier Pierre De Mesange ; Avec une Relation bien circonstanciée de l'origine, de l'histoire, des mœurs, & du Paradis des Habitans du Pole Arctique	Simon	Tyssot de Patot	gnd/123599288																		
5	133542688	Aar	fre	1713	Paris		Le prince Kouchimen ; histoire Tartare	François-Timoléon	Choisy	gnd/118675966																		
6	133542726	Acus	fre	1726	Amsterdam	gnd/4001783-7	Histoire Secrette Des Femmes Galantes De L'Antiquité	François-Nicolas	Dubois	gnd/1055552014																		
7	133546055	Aaus	fre	1715	Amsterdam		La Voiture Embourbée. Ou Le Roman Naturel	Pierre Carlet de Chamblain	Marivaux	gnd/118577972																		
8	133546128	Acus	fre	1737	Paris		Pharsamon, Ou Les Nouvelles Folies Romanesques	Pierre Carlet de Chamblain	Marivaux	gnd/118577972																		
9	133549267	Acr	fre	1713	A La Haye		L'Atalantis de Madame Manley, traduit de l'Anglois. Contenant les intrigues politiques, et amoureuses, de la noblesse de cette ile, et où l'on découvre le secret de la dernière révolutions arrivées depuis l'an 1683 jusques à present	Mary DeLaRivière	Manley	gnd/118813781																		
10	133550028	Acus	fre	1721	La Haye		Le Conte Du Tonneau ; Contenant tout ce que les Arts, & les Sciences Ont de plus Sublime, Et de plus Mysterieux ; Avec plusieurs autres Piéces très-curieuses ; Traduit de l'Anglois	Jonathan	Swift	gnd/118620193																		
11	133550559	Acus	fre	1750	A Amsterdam	gnd/4001783-7	Histoire De Tom Jones, Ou L'Enfant Trouvé	Henry	Fielding	gnd/118532960							Pierre Antoine	La Place	gnd/104270659	Hubert François	Gravelot	gnd/121286673						
12	133566455	Aar	fre	1700	La Haye		Annales galantes ; divisées en huit parties	Marie Cathérine Hortense Desjardins	Villedieu	gnd/118808915																		
13	133601803	Acu	fre		La Haye		Le Comte d'Amboise, Nouvelle Galante	Catherine	Bernard	gnd/118940252																		
14	133990087	Aaus	fre	1750	Amsterdam		Considérations Sur Le Commerce Et La Navigation De La Grande-Bretagne ; Ouvrage traduit de l'Anglois	Joshua	Gee	gnd/1046818821							Jean-Baptiste	Montesquieu	gnd/11765454X									
