ID - Katalog Ende 18. Jh.;Imagez‰hlung - Digitalisat Katalog Ende 18. Jh.;Katalogseitenz‰hlung - Katalog Ende 18. Jh.;Schrankposition - Katalog Ende 18. Jh.;Titelreihenfolge - Katalog Ende 18. Jh.;Katalogeintrag Katalog Ende 18. Jh.;PPN-Nummer Manifestationsebene;Edit. Anmerkungen ;Bandz‰hlung;PPN-Nummer Exemplarebene - Ex. 1;HAB  Exemplare;Sammlungszugehˆriges Exemplar mit Provenienzen;Aufstellungssystematik Mittlere Aufstellung;Signatur- und Provenienzpr¸fung;Ergebnis Magazin- und Provenienzpr¸fung;Alle im OPAC nachgewiesen Provenienzen HAB;Provenienz Zuordnung namentlich;Bibliographische Gattung und Status;Sprachcode;OPAC Haupttitel;Erscheinungsjahr;Erscheinungsort OPAC - 4030 -;Erscheinungsort normiert GND;Erscheinungsort GND-Nummer;Erscheinungsort normiert TGN;TGN-Nummer;1. Verfasser Vorname -3000;1. Verfasser Nachname - 3000;1. Verfasser normiert;Wikidata-ID;sex or gender;1. Verfasser GND-Nummer;Geschlecht;1. Weiterer Verfasser Vorname -3001;1. Weiterer Verfasser Nachname - 3001;1. Weiterer Verfasser GND - 3001 2;Geschlecht2;2. Weiterer Verfasser Vorname - 3002;2. Weiterer Verfasser Nachname - 3002;2. Weitere Verfasser GND - 3002 2;Geschlecht3;1. Weitere Person Vorname -3010;1. Weitere Person Nachname -3010;1. Weitere Person GND - 3010 2;Geschlecht4;2. Weitere Person Vorname - 3010;2. Weitere Person Nachname -3010;Geschlecht5;2. Weitere Person GND - 3010 2;1. Sonstige Person Vorname - 3050;1. Sonstige Person Nachname - 3050;1. Sonstige Person GND - 3050 2;2. Sonstige Person Vorname - 3050;2. Sonstige Person Nachname - 3050;2. Sonstige Person GND - 3050 2;3. Sonstige Person Vorname - 3050;3. Sonstige Person Nachname - 3050;3. Sonstige Person GND - 3050 2
1;8;6;I. Arm. I Rang in Folio;1;Les metamophosos d Ovide par M. b AbbÈ banier ouvarge enrichi de figures gravÈes par B. Picart · Amsterdam 1732.;142243574;;1;253218071;M: Lh 2∞ 19;;Literatur - Rˆmische Literatur;Exemplar vorhanden;Exemplar ohne Provenienzen von Philippine Charlotte;;;Acus;fre;Les Metamorphoses D'Ovide En Latin, Traduites En FranÁois;1732;Amsterdam;Amsterdam;4001783-7;Amsterdam;tgn/7006952;Publius;Ovidius Naso;Ovid;Q7198;male;118590995;M‰nnlich;;;;;;;;;Antoine;Banier;100022324;M‰nnlich;Bernard;Picart;M‰nnlich;123379636;;;;;;;;;
2;8;6;I. Arm. I Rang in Folio;2;Le temple des muses ornÈ de 60 tableaux ou sont reprÈ sentÈs les ÈvÈnemes les plus remarquables de l' antiquite fabuleuse desfinÈs et gravÈs par Picart le Romaini · Amsterdam 1733;214141918;;1;214141918;M: Ho gr.-2∞ 1;;Kulturgeschichte - Mythologie;Exemplar vorhanden;Exemplar ohne Provenienzen von Philippine Charlotte;;;Aar;fre;Le temple des muses;1733;Amsterdam;Amsterdam;4001783-7;Amsterdam;tgn/7006952;Antoine;La Barre de Beaumarchais;Antoine Emmanuel La Barre de Beaumarchais;Q4251815;male;100743714;Unbekannt;;;;;;;;;Bernard;Picart;123379636;M‰nnlich;;;;;;;;;;;;;
3;8;6;I. Arm. 1. Rang in Folio;Mrz 17;L' antiquitÈ expliquÈe et reprÈsentÈe par D. B. Montfaucon · Paris 1722. T. I-V et Supplem. T. I-V. 15 Volumes.;150315910;;15;315991364;M: Ud 2∞ 15:1;M: Ud 2∞ 15:1;Kunst - Antike Kunst;Provenienzen bereits im OPAC nachgewiesen;;Wappensupralibros: Dumas [de Montbail oder de Montmartin], Provenienz: Dumas de Montbail <Familie> / Einband / Wappen, Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> / Signatur, Dumas de Montbail <Familie>;Provenienz: Dumas de Montbail <Familie> / Einband / Wappen;Acus;fre;L' AntiquitÈ ExpliquÈe Et ReprÈsentÈe En Figures;1722;Paris;Paris;4044660-8;Paris;tgn/7008038;Bernard;Montfaucon;Bernard de Montfaucon;Q705306;male;100310923;M‰nnlich;;;;;;;;;;;;;;;;;;;;;;;;;
4;8;6;I. Arm. 1. Rang in Folio;18;Les images ou tableaux de platte peinture des 2 Philostrates Sophirtes grees et les statues de Callistrate trad. par Bl. de Vigenere revu par Artus · Paris 1637.;253096111;;1;253096111;M: Lg 2∞ 79;;Literatur - Griechische Literatur;Exemplar vorhanden;Exemplar ohne Provenienzen von Philippine Charlotte;Wappen-Exlibris: Elisabetha Sophia Maria Verwittwete Herzogin Zu Br. U. Lun, Provenienz: Elisabeth Sophie Marie <Braunschweig-L¸neburg, Herzogin> / Exlibris / Wappen, Provenienz: NN / Nummer / Signatur, Provenienz: NN / Signatur;;Aau;fre;Les images ou tableaux de platte peinture des deux Philostrates sophistes grecs et les statues de Callistrate;1637;Paris;Paris;4044660-8;Paris;tgn/7008038;Flavius;Philostratus;Philostratus;Q2274948;male;118594044;M‰nnlich;;;;;;;;;Blaise;VigenËre;119173883;Unbekannt;Thomas;Artus;Unbekannt;12033951X;;;;;;;;;
5;8;6;I. Arm. 1. Rang in Folio;19;Antiquites Romaines savÈes et profanes par M. A. V. N. · la Haye 1726.;151574529;;1;151574529;M: Ud 2∞  18;;Kunst - Antike Kunst;Exemplar vorhanden;Exemplar ohne Provenienzen von Philippine Charlotte;;;Aar;lat;Antiquitates sacrae et civiles Romanorum explicatae. Sive commentarii historici, mythologici, philologici, in varia monumenta prisca, et maxime in plures statuas, aras, tumulos, inscriptiones ^etc.;1726;Hagae Comitum;Den Haag;4011446-6;'s-Gravenhage;tgn/7006810;M. A.;Nideck;Nideck, M. A.;;unbekannt;1055547193;Unbekannt;;;;;;;;;;;;;;;;;;;;;;;;;
6;8;6;I. Arm. 1. Rang in Folio;20;Le grand cabinet romain ou recueit d'antiquites Romaines avec les explications de Michel Ange. de la Chaushe · Amsterd. 1706;151385327;;1;151385327;M: Ud 2∞  3, Schulenb. H 2∞ 4;;Kunst - Antike Kunst;Exemplar vorhanden;Exemplar ohne Provenienzen von Philippine Charlotte;;;Aaus;fre;Le Grand Cabinet Romain Ou Recueil D'Antiquitez Romaines, Qui consistenten Bas Reliefs, Statues des Dieux & des Hommes, Instruments Sacerdotaux, Lampes, Urnes, Seaux, Brasselets, Clefs, Anneaux, & Phioles lacrimales, Que L'On Trouve A Rome;1706;Amsterdam;Amsterdam;4001783-7;Amsterdam;tgn/7006952;Michel-Ange;La Chausse;Michel-Ange de la Chausse;Q19464003;male;117571644;M‰nnlich;;;;;;;;;Joachim;Roche;142908703;Unbekannt;;;;;;;;C.;Luijkenin;;I.;Geeree;
7;9;7;I. Arm. 1. Rang in Folio;21-22;Les decades de Tite Live. trad. par P. de Ryer · Paris 1653. T. I,II.;24146319X;;2;390150282;A: 33.7 Hist. 2∞;;;Exemplar vorhanden;Exemplar ohne Provenienzen von Philippine Charlotte;;;Acus;fre;Les Decades De Tite-Live;1653;Paris;Paris;4044660-8;Paris;tgn/7008038;Titus;Livius;Titus Livius;Q2039;male;118573624;M‰nnlich;Johann;Freinsheim;116750146;Unbekannt;;;;;Pierre;Du Ryer;118888552;M‰nnlich;;;;;;;;;;;;;
8;9;7;I. Arm. 1. Rang in Folio;23;Les  histoires  de  Polybe.  trad. par P. de Ryer ‡ Paris 1665.;14572008X;;2;226458725;M: Lg 1846:1, Xd 8∞ 1083:1;;Literatur - Griechische Literatur;Exemplar vorhanden;Exemplar ohne Provenienzen von Philippine Charlotte;3 Bde, Exlibris: Ex Bibliotheca LR Ducis Brunsvicensis Et Luneburgensis, Provenienz: Ludwig Rudolf <Braunschweig-Wolfenb¸ttel, Herzog> / Exlibris / Monogramm, Provenienz: Ludwig Rudolf <Braunschweig-Wolfenb¸ttel, Herzog> / Etikett / Nummer, Provenienz: Bessell[?], A. / Autogramm;;Acu;fre;Les Histoires De Polybe;1669;Paris;Paris;4044660-8;Paris;tgn/7008038;Polybius;;Polybius;Q131169;male;118595571;Unbekannt;;;;;;;;;Pierre;Du Ryer;118888552;M‰nnlich;;;;;;;;;;;;;
9;9;7;I. Arm. 1. Rang in Folio;24;Histoire de la peinture ancienne extraite de l'histoire naturelle de Pline · Lond. 1725.;150949537;;1;150949537;M: Lh 4∞  118;M: Lh 4∞ 118;Literatur - Rˆmische Literatur;Provenienzen bereits im OPAC nachgewiesen;;Wappensupralibros: Dumas [de Montbail oder de Montmartin], Signatur der Bibliothek von Herzogin Philippine Charlotte von Braunschweig-L¸neburg, Provenienz: Dumas de Montbail <Familie> / Einband / Wappen, Provenienz: Philippine Charlotte <Braunschweig-L¸neburg, Herzogin> / Signatur, Dumas de Montbail <Familie>;Provenienz: Dumas de Montbail <Familie> / Einband / Wappen;Aau;lat;Histoire De La Peinture Ancienne;1725;Londres;London;4074335-4;London;tgn/7011781;Gaius;Plinius Secundus;Pliny the Elder;Q82778;male;118595083;M‰nnlich;;;;;;;;;David;Durand;12353044X;M‰nnlich;;;;;;;;;;;;;
10;9;7;I. Arm. 1. Rang in Folio;25;L'histoire de Thucydide de la guerre de Peloponese contin. Par Xenophon trad. Par N. Perrot de' Ablancourt · Paris 1662.;389564044;;1;389564044;A: 40.7 Hist. 2∞;;;Exemplar vorhanden;Exemplar ohne Provenienzen von Philippine Charlotte;;;Aaus;fre;"L' Histoire De Thvcydide De La Gverre Dv Peloponese; ContinvÈe Par Xenophon";1662;Paris;Paris;4044660-8;Paris;tgn/7008038;Thucydides;;Thucydides;Q41683;male;11862234X;M‰nnlich;;;;;;;;;Nicolas Perrot;Ablancourt;123853850;Unbekannt;Ludwig XIV.;Frankreich, Kˆnig;M‰nnlich;118816829;;;;;;;;;
