"Name","Address","Description","Longitude","Latitude","TimeStamp","TimeSpan:begin","TimeSpan:end","GettyID","","","",
"Ovid: Les Metamorphoses D'Ovide En Latin, Traduites En François. Amsterdam 1732.","Amsterdam","","4.916667","52.35","1732","","","7006952","","","",
"Antoine Emmanuel La Barre de Beaumarchais: Le temple des muses. Amsterdam 1733.","Amsterdam","","4.916667","52.35","1733","","","7006952","","","",
"Cérémonies Et Coutumes Religieuses De Tous Les Peuples Du Monde .... Amsterdam 1723.","Amsterdam","Exemplar der Sammlung von Philippine Charlotte von Braunschweig-Lüneburg nachgewiesen in der Herzog August Bibliothek. Signatur: M: Ti 2° 6","4.916667","52.35","1723","","","7006952","","","",
"Ceremonies et Coutumes Religieuses des Peuples Idolatres. Amsterdam 1723.","Amsterdam","Exemplar der Sammlung von Philippine Charlotte von Braunschweig-Lüneburg nachgewiesen in der Herzog August Bibliothek. Signatur: M: Ti 2° 6","4.916667","52.35","1723","","","7006952","","","",
"Bernard de Montfaucon: L' Antiquité Expliquée Et Représentée En Figures. Paris 1722.","Paris","Exemplar der Sammlung von Philippine Charlotte von Braunschweig-Lüneburg nachgewiesen in der Herzog August Bibliothek. Signatur: M: Ud 2° 15","2.333333","48.866667","1722","","","7008038","","","",
"Jean Nicolas de Parival: Abregé De L'Histoire De ce Siecle de Fer. Brüssel 1655.","Brüssel","","4.333333","50.833333","1655","","","7007868","","","",
"Claude Buffier: Introduction à l'histoire des maisons souveraines de l'Europe. Paris 1717.","Paris","Exemplar der Sammlung von Philippine Charlotte von Braunschweig-Lüneburg nachgewiesen in der Herzog August Bibliothek. Signatur: M: Ff 79","2.333333","48.866667","1717","","","7008038","","","",
"Lecoq, Renaud: Le parfait geographe, ou methode pour apprendre aisément la geographe l'histoire, et la sphere. Paris 1723.","Paris","Exemplar der Sammlung von Philippine Charlotte von Braunschweig-Lüneburg nachgewiesen in der Herzog August Bibliothek. Signatur: M: Ca 191","2.333333","48.866667","1723","","","7008038","","","",
"David Durand: Histoire Du Seizieme Siécle. Den Haag 1734.","Den Haag","Exemplar der Sammlung von Philippine Charlotte von Braunschweig-Lüneburg nachgewiesen in der Herzog August Bibliothek. Signatur: M: Ge 193","4.3","52.083333","1734","","","7006810","","","",
"Claude Buffier: Histoire chronologique du dernier siécle .... Paris 1715.","Paris","","2.333333","48.866667","1715","","","7008038","","","",
"Philipp Clüver: Introduction a la geographie universelle, tant nouvelle, qu'ancienne. Rouen 1649.","Rouen","Exemplar der Sammlung von Philippine Charlotte von Braunschweig-Lüneburg nachgewiesen in der Herzog August Bibliothek. Signatur: M: Ca 176","1","49.5","1649","","","7610552","","","",
"Nicolas Lenglet du Fresnoy: Méthode pour étudier la Géographie. Amsterdam 1718.","Amsterdam","","4.916667","52.35","1718","","","7006952","","","",
"Louis Ellies Dupin: L' Histoire Profane Depuis son commencement jusqu'à présent. Antwerpen 1717.","Antwerpen","","4.833333","51.166667","1717","","","7003456","","","",
"Orazio Torsellino: Histoire Universelle. Amsterdam 1708.","Amsterdam","","4.916667","52.35","1708","","","7006952","","","",
"Histoire Chronologique Des Papes, Des Empereurs Et Des Rois, Qui ont regné en Europe depuis la Naissance de Jesus-Christ jusqu'à present. Paris 1714.","Paris","Exemplar der Sammlung von Philippine Charlotte von Braunschweig-Lüneburg nachgewiesen in der Herzog August Bibliothek. Signatur: M: Fd 139b","2.333333","48.866667","1714","","","7008038","","","",
